method_folder,n_input_channels,rmse_mean,rmse_std,mae_mean,mae_std,pearson_r_mean,pearson_r_std,r2_mean,r2_std,band_rmse_delta_mean,band_rmse_delta_std,band_rmse_theta_mean,band_rmse_theta_std,band_rmse_alpha_mean,band_rmse_alpha_std,band_rmse_beta_mean,band_rmse_beta_std,band_rmse_gamma_mean,band_rmse_gamma_std
BEM_Dipole_Model,5,9.92663341581415,1.3353030200360698,7.758318815476888,1.0465596202736178,0.34951480027477877,0.04903642880053968,0.08762057824919126,0.02477794882244121,28.85905967587376,8.949115372494512,13.60876228778755,6.242910771865953,19.98439498971515,16.549921452896214,13.210343772758698,4.852221746332916,3.618476590816287,2.9720005730152748
BEM_Dipole_Model,10,9.696122256947776,1.2699810197518675,7.574507983789628,0.9935722654688227,0.43093623321284746,0.04534347494838832,0.12931231097138352,0.031690094148397234,28.781908117233034,8.759142895753115,13.47029435551942,6.1539936988388675,19.586437041848274,15.960207318886743,12.903967059663916,4.766712452268665,3.577872555778437,2.9903930944406025
BEM_Dipole_Model,15,9.449887884089616,1.303183719697962,7.362959068587961,1.008423694705546,0.46557838147604014,0.07609936679911807,0.15808778208360888,0.05053966056853595,27.497571979432664,8.290693866285096,12.037745835181584,5.75938031543346,21.987016704062075,20.336217022091066,12.76671098933732,4.510921764740035,3.6018876737733176,3.0463715752353444
BEM_Residual,5,2.5145486195882163,0.49681353408845513,1.9255823559231229,0.38001217601389176,0.9705285231272379,0.004898272077169294,0.9416970817232294,0.009427653192125606,0.21409734197491204,0.09337119280759021,0.2596145568737931,0.11719389140583371,0.31022863022969904,0.1349279386061777,1.215873199356994,0.500936882747134,1.1015327309852176,0.480004010930156
BEM_Residual,10,2.017770383093092,0.3248113298733789,1.5206345187293158,0.22581970722718378,0.9809321959813436,0.0030903842863758257,0.9621133017619231,0.0061478988841214095,0.15937828423090078,0.07694472152745042,0.1993519792786148,0.10737576851208941,0.2486820812228196,0.13130187897455306,0.9274527045228802,0.4615825776305951,0.7722942923031456,0.3858003904261996
BEM_Residual,15,2.3161509566836886,0.4999348264665605,1.7210753096474543,0.3593259021624497,0.9748056133588155,0.004872294735301072,0.9498347030214275,0.009804349079707784,0.24633360601666243,0.16011446069049723,0.2693985927061369,0.18432921320227824,0.36205994428899574,0.2610576076065136,1.3475899868735464,0.9693073323018576,1.1771502430863297,0.8159165184370046
Distance_Weighted,5,3.5321163336435952,0.9689770530670047,2.721589552031623,0.7438133507255581,0.9437551763322618,0.013555071281197805,0.8893116447283984,0.025634667554936236,6.501690720740928,2.36487300173185,4.205412420005837,1.9583070602110264,6.986830855349752,6.592125723461574,3.1010631527707755,1.3010298499059296,0.5744971946379543,0.22627076568413648
Distance_Weighted,10,3.3412587642669678,0.7966354438834141,2.557941714922587,0.6126499480291094,0.9494710432158576,0.009336262228762797,0.9002950375475758,0.0183865288772267,6.249846909691197,2.0760876884092148,3.8466576445331295,1.857927150222934,7.596094829881029,7.322241266058298,2.701460477951781,1.159150732235652,0.5323346154980131,0.20611508796250533
Distance_Weighted,15,4.602762990527683,1.2417266137248069,3.4606005350748696,0.9163738925615255,0.9009248548083835,0.02169755709170088,0.8089771555788963,0.038136159862663284,6.392864681173422,2.42128098222048,3.412160358479849,1.7590011029529984,10.976550636070531,13.606208568579266,2.4170020796551954,1.1788577219224419,0.6132213738864833,0.263398059484757
Interpolation_Residual,5,2.499079293674893,0.5560114513003502,1.9114362001419067,0.42472882903484427,0.9716629915767245,0.00499015176709942,0.943905169516449,0.009589346379624338,0.20772589302086206,0.09440469320632774,0.2403263439459439,0.12409249320429527,0.31235098207901024,0.16000432491128502,1.2153708529000866,0.6272960137507644,1.0165630911315462,0.5474514335062859
Interpolation_Residual,10,1.97368327776591,0.33030564965684717,1.473605023490058,0.2279554716376548,0.9819479253556993,0.0036648091425636286,0.9641819017956917,0.0071898455703829816,0.16451097843409718,0.07163070091069963,0.20077585813411847,0.10321840525670382,0.25131846375968986,0.12077174907394253,0.936980779757877,0.4586635711171586,0.8178427963789071,0.44696264335971697
Interpolation_Residual,15,2.274721688694424,0.5032819964682508,1.6694098711013794,0.3559148830135764,0.9761169685257806,0.004026258931458645,0.9526714289870148,0.007941914152782012,0.22672590175059928,0.15889090580714968,0.27189897643184885,0.1820277434615107,0.3326532916497817,0.21183353691894277,1.22656096744504,0.7859065344210648,1.103602511963343,0.7326736644805982
Learned_BEM_Residual,5,2.490843349032932,0.561939137010748,1.905674695968628,0.4299883060555886,0.9718944761488173,0.004924987381376114,0.9444427777591096,0.009498879734861571,2.169152123447672,1.0168829853688242,1.4022869064096504,0.7847817083856882,2.682410167142509,2.8972793064399074,1.4285251447307377,0.8431653013218027,0.6669457664563003,0.5824287857843531
Learned_BEM_Residual,10,1.9545369413163927,0.32317369915322836,1.4586342440711126,0.22574094453569313,0.9823301633199056,0.003564658227566797,0.9649275188579234,0.007013916294663403,1.2084642120955935,0.7214365270018098,0.8614452049088144,0.6724348766963216,1.8511437556306234,1.8275084379126167,1.1120152246251755,0.674838747337518,0.6559768490149769,0.5410637242425061
Learned_BEM_Residual,15,2.224378228187561,0.4704770038949295,1.6339278883404202,0.3356719868549085,0.9771516786681281,0.003756354755735194,0.9547082527130795,0.007387658037364108,1.7678524204445873,1.3089334861595212,0.8858115186110902,0.8142617593533963,2.965854330958623,3.898730790239672,1.4198377371049302,0.9384046684988339,0.8420435846556298,0.7266922323957267
Spherical_Spline,5,3.1118202407944193,0.9163573549454088,2.316604355126794,0.6551396895393183,0.9579380529428918,0.011050163261688114,0.9139042601244817,0.024469381499481854,1.9372937625891744,0.985318684853635,1.3746256630785685,0.9546540814140763,6.180662537548958,8.398427496134193,1.7188246360656045,1.3659475350331756,0.31984819454783664,0.22160815123965988
Spherical_Spline,10,2.3819666910875346,0.4366497899503865,1.7460565982966147,0.2769623218998118,0.9746604280427962,0.0044198709591812425,0.9484481193070169,0.008904410384509447,2.0162309494882558,1.3403091640388942,1.331538028538965,1.125796313135024,3.693569639773973,4.983986136953309,1.0126911086339137,0.726600575129734,0.251475733229781,0.18878401377648832
Spherical_Spline,15,3.3044593568191525,0.4767917333523721,2.3790021715240823,0.32406090395538684,0.951628126137507,0.008932518972704343,0.8976152343048727,0.018759464052238266,2.8813347488569936,1.5065445669072,1.845045353024746,1.6402731841702964,5.574268446380798,6.922570083796324,2.072563727611064,1.2269572218718943,0.5177996097186388,0.23511427031054333
